,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
163,034950,KR7034950006,한국기업평가,KOSDAQ,우량기업부,85600,1,400,0.47,85200,85600,84800,1999,170301700,388667998400,4540514,KSQ
164,179900,KR7179900006,유티아이,KOSDAQ,벤처기업부,23750,1,1950,8.94,22050,24250,21850,57896,1336731550,386813756250,16286895,KSQ
165,095700,KR7095700001,제넥신,KOSDAQ,기술성장기업부,8400,2,-500,-5.62,8800,8840,8100,1232330,10356819050,382540149600,45540494,KSQ
166,218410,KR7218410009,RFHIC,KOSDAQ,우량기업부,14380,2,-250,-1.71,14770,14830,13710,218883,3133053170,380846275960,26484442,KSQ
167,206640,KR7206640005,바디텍메드,KOSDAQ,우량기업부,16100,1,100,0.63,16100,16370,15860,212667,3426681710,378133616000,23486560,KSQ
168,036810,KR7036810000,에프에스티,KOSDAQ,우량기업부,17250,2,-130,-0.75,17420,17730,17070,184741,3185554710,375304610250,21756789,KSQ
169,304360,KR7304360001,에스바이오메딕스,KOSDAQ,투자주의환기종목(소속부없음),31850,2,-1500,-4.5,33500,33550,31600,97610,3158371300,374103602600,11745796,KSQ
170,455900,KR7455900001,엔젤로보틱스,KOSDAQ,기술성장기업부,25000,1,600,2.46,24600,25300,24350,251122,6231954350,373634525000,14945381,KSQ
171,388720,KR7388720005,유일로보틱스,KOSDAQ,벤처기업부,32100,1,100,0.31,32050,32500,31500,54477,1736900100,367655231400,11453434,KSQ
172,445680,KR7445680002,큐리옥스바이오시스템즈,KOSDAQ,기술성장기업부,22750,2,-850,-3.6,23250,23700,22250,255033,5823255350,366200789500,16096738,KSQ
173,014620,KR7014620009,성광벤드,KOSDAQ,우량기업부,12770,2,-310,-2.37,13080,13270,12770,169865,2203745180,365222000000,28600000,KSQ
174,029960,KR7029960002,코엔텍,KOSDAQ,우량기업부,7270,2,-50,-0.68,7320,7340,7170,59018,427423340,363500000000,50000000,KSQ
175,319400,KR7319400008,현대무벡스,KOSDAQ,우량기업부,3060,2,-105,-3.32,3150,3210,3055,699001,2171897065,360287637480,117741058,KSQ
176,079370,KR7079370003,제우스,KOSDAQ,우량기업부,11600,2,-310,-2.6,11980,12050,11510,231002,2708239670,359797084000,31016990,KSQ
177,024850,KR7024850000,HLB이노베이션,KOSDAQ,중견기업부,3940,1,60,1.55,3890,4070,3775,2823086,11125031180,359431495920,91226268,KSQ
178,036560,KR7036560001,영풍정밀,KOSDAQ,우량기업부,22700,2,-3300,-12.69,31200,32700,21100,2888203,81884563050,357525000000,15750000,KSQ
179,138580,KR7138580006,비즈니스온,KOSDAQ,벤처기업부,15850,2,-20,-0.13,15870,15880,15850,1839,29148340,357515183550,22556163,KSQ
180,032820,KR7032820003,우리기술,KOSDAQ,우량기업부,2245,2,-70,-3.02,2300,2330,2245,4243169,9656010620,356638562760,158859048,KSQ
181,005160,KR7005160007,동국산업,KOSDAQ,우량기업부,6560,1,60,0.92,6670,6800,6500,188536,1250428480,355843801920,54244482,KSQ
